InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,Country,TotalSales
563238,22679,FRENCH BLUE METAL DOOR SIGN 4,10,2011-08-15 09:59:00,1.25,United Kingdom,12.5
553566,22699,ROSES REGENCY TEACUP AND SAUCER ,12,2011-05-18 09:09:00,2.95,France,35.400000000000006
546084,22303,COFFEE MUG APPLES DESIGN,6,2011-03-09 11:28:00,2.55,United Kingdom,15.299999999999999
572302,23533,WALL ART GARDEN HAVEN ,1,2011-10-23 14:47:00,5.95,United Kingdom,5.95
558614,22993,SET OF 4 PANTRY JELLY MOULDS,3,2011-06-30 15:56:00,2.46,United Kingdom,7.38
561867,23204,CHARLOTTE BAG APPLES DESIGN,3,2011-07-31 10:59:00,0.85,United Kingdom,2.55
568716,21094,SET/6 RED SPOTTY PAPER PLATES,1,2011-09-28 16:13:00,0.83,United Kingdom,0.83
571279,22602,RETROSPOT WOODEN HEART DECORATION,24,2011-10-16 12:54:00,0.85,United Kingdom,20.4
539038,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-15 14:45:00,0.55,United Kingdom,13.200000000000001
552134,85152,HAND OVER THE CHOCOLATE   SIGN ,24,2011-05-06 11:50:00,2.1,United Kingdom,50.400000000000006
567474,23184,BULL DOG BOTTLE OPENER,2,2011-09-20 12:53:00,4.95,United Kingdom,9.9
566914,22553,PLASTERS IN TIN SKULLS,2,2011-09-15 14:08:00,1.65,United Kingdom,3.3
576932,21248,DOOR HANGER  MUM + DADS ROOM,2,2011-11-17 11:12:00,1.45,United Kingdom,2.9
540976,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,2011-01-12 15:00:00,2.95,France,17.700000000000003
547389,22784,LANTERN CREAM GAZEBO ,2,2011-03-22 16:08:00,4.95,United Kingdom,9.9
571903,20969,RED FLORAL FELTCRAFT SHOULDER BAG,4,2011-10-19 14:40:00,3.75,United Kingdom,15.0
562779,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,1,2011-08-09 12:58:00,0.85,United Kingdom,0.85
570861,22211,WOOD STAMP SET FLOWERS,12,2011-10-12 15:27:00,0.83,United Kingdom,9.959999999999999
571082,23394,POSTE FRANCE CUSHION COVER,1,2011-10-13 15:25:00,10.79,United Kingdom,10.79
560398,10125,MINI FUNKY DESIGN TAPES,100,2011-07-18 14:10:00,0.85,France,85.0
578941,16238,PARTY TIME PENCIL ERASERS,1,2011-11-27 13:26:00,0.21,United Kingdom,0.21
537434,20685,DOORMAT RED RETROSPOT,1,2010-12-06 16:57:00,14.43,United Kingdom,14.43
577557,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,2011-11-20 15:36:00,0.85,United Kingdom,0.85
570690,23199,JUMBO BAG APPLES,1,2011-10-11 16:37:00,4.13,United Kingdom,4.13
568346,22601,CHRISTMAS RETROSPOT ANGEL WOOD,1,2011-09-26 15:28:00,1.63,United Kingdom,1.63
554098,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,2011-05-22 13:01:00,6.75,United Kingdom,27.0
