CustomerID,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend
12346,325,1,74215,77183.6
12347,39,5,223,494.65000000000003
12348,318,2,264,92.16
12349,18,1,46,101.69
12350,310,1,37,100.0
12352,36,6,27,732.3000000000001
12354,232,1,8,49.7
12356,245,2,52,308.4
12357,33,1,260,708.46
12358,150,1,20,115.58
12359,57,4,118,476.05
12360,52,2,120,204.28
12361,287,1,12,23.4
12362,3,10,226,457.39
12363,109,2,72,146.64
12364,7,3,140,121.74
12365,291,1,12,35.400000000000006
12370,51,4,157,202.20000000000002
12371,59,1,76,151.64000000000001
12372,71,2,30,55.08
12373,311,1,10,19.5
12374,25,1,36,37.8
12375,10,1,20,41.6
12377,315,2,134,234.29999999999998
12378,129,1,214,421.18
12379,81,2,26,44.6
12380,21,3,58,131.9
12381,33,3,53,78.05
12383,238,4,329,189.01999999999998
12384,28,1,2,16.5
12386,337,1,60,75.0
12388,75,5,147,378.09000000000003
12390,79,1,11,50.05
12391,21,1,19,36.59
12393,72,3,70,135.5
12394,217,1,8,6.8
12395,31,8,352,343.0
12397,35,2,100,213.23000000000002
12398,45,1,90,119.3
12399,261,1,48,26.400000000000002
12402,323,1,22,42.9
12405,148,1,81,195.45000000000002
12406,22,2,234,486.5
12407,134,2,298,141.74
12408,32,3,139,286.35
12409,78,3,825,1864.95
12410,301,2,39,77.85
12412,74,2,72,115.2
12413,66,3,29,61.95
12414,217,3,84,57.959999999999994
12415,24,14,6264,10742.55
12417,3,7,164,327.15999999999997
12418,112,1,24,75.24000000000001
12420,63,1,17,86.19
12421,15,2,30,59.94
12422,168,1,30,35.7
12423,0,7,169,268.58
12424,162,2,194,287.14
12425,78,1,68,97.3
12427,60,1,30,59.7
12428,25,7,271,808.46
12429,9,4,166,426.02
12431,60,12,295,692.31
12432,42,3,119,467.15000000000003
12433,0,6,986,1070.9
12434,84,3,21,90.45
12435,79,2,208,1180.4
12436,99,1,9,44.550000000000004
12437,9,11,354,536.42
12438,14,2,87,221.25
12441,366,1,25,10.5
12442,3,1,1,28.0
12444,21,5,117,800.6
12445,22,1,26,86.0
